"date","open","high","low","volume","close"
2007-01-03,35.709999,36.200001,35.09,764200,35.580002
2007-01-04,35.630001,35.880001,35.310001,800900,35.810001
2007-01-05,35.700001,35.790001,34.900002,781500,35.02
2007-01-08,35.16,35.349998,34.98,479600,35.139999
2007-01-09,35.259998,35.610001,35.130001,506800,35.439999
2007-01-10,35.23,35.639999,35.049999,335700,35.490002
2007-01-11,35.619999,36.470001,35.619999,575700,36.400002
2007-01-12,36.27,36.5,35.860001,1123000,36.200001
2007-01-16,36.400002,36.5,35.959999,1185300,36.200001
2007-01-17,36.209999,36.540001,36.029999,916900,36.349998
2007-01-18,36.34,37.110001,36.34,922900,36.98
2007-01-19,36.98,37.32,36.75,682900,37.299999
2007-01-22,37.439999,37.580002,36.619999,526600,37.060001
2007-01-23,37.119999,37.650002,36.849998,595700,37.43
2007-01-24,37.5,37.740002,37.290001,280500,37.689999
2007-01-25,37.599998,37.700001,37.130001,726500,37.259998
2007-01-26,37.380001,37.560001,36.889999,375300,37.490002
2007-01-29,37.490002,37.799999,37.169998,387000,37.299999
2007-01-30,37.459999,37.549999,36.93,554200,37.060001
2007-01-31,37.040001,37.970001,37.040001,759700,37.950001
2007-02-01,37.990002,38.169998,37.380001,1164800,37.509998
2007-02-02,37.650002,37.75,37.459999,800300,37.490002
2007-02-05,37.540001,37.84,37.360001,543200,37.52
2007-02-06,37.540001,37.970001,37.470001,535600,37.970001
2007-02-07,37.990002,38.349998,37.759998,584600,38.330002
2007-02-08,38.25,38.740002,37.970001,638400,38.73
2007-02-09,38.950001,39,38.130001,578000,38.52
2007-02-12,38.549999,38.709999,37.439999,1351600,37.48
2007-02-13,37.5,37.619999,37.290001,616200,37.5
2007-02-14,37.599998,37.790001,36.93,1235300,37.02
2007-02-15,37,39.32,36.75,3884400,38.75
2007-02-16,38.580002,38.759998,38.330002,600400,38.650002
2007-02-20,38.459999,38.759998,37.880001,1054300,38.029999
2007-02-21,38,38.419998,37.759998,1783200,38.310001
2007-02-22,38.299999,38.389999,38.25,514500,38.380001
2007-02-23,38.330002,38.720001,38.209999,970100,38.529999
2007-02-26,38.709999,38.799999,38.490002,795500,38.73
2007-02-27,38.450001,38.459999,37.240002,1140100,37.509998
2007-02-28,37.599998,38.080002,37.139999,902600,37.650002
2007-03-01,37.549999,37.66,36.599998,1432400,36.91
2007-03-02,36.91,36.919998,36.200001,760500,36.279999
2007-03-05,36.099998,36.849998,35.810001,1452200,36.25
2007-03-06,36.52,37.59,36.509998,1085000,37.41
2007-03-07,37.349998,38.060001,37.169998,893200,37.880001
2007-03-08,38.23,38.740002,38.220001,845500,38.41
2007-03-09,38.66,38.66,37.790001,594600,38.139999
2007-03-12,38.299999,38.939999,38.290001,673200,38.919998
2007-03-13,38.540001,38.709999,37.779999,788500,37.779999
2007-03-14,37.669998,38.099998,37.080002,838600,38.029999
2007-03-15,37.93,38.380001,37.73,665800,37.970001
2007-03-16,37.970001,38.139999,37.57,632100,37.98
2007-03-19,38.18,39.310001,38.169998,1564400,39.299999
2007-03-20,39.18,39.27,38.66,875900,38.830002
2007-03-21,38.880001,39.490002,38.75,955300,39.189999
2007-03-22,39.299999,39.48,38.950001,749900,39.099998
2007-03-23,39.099998,39.5,39.099998,532600,39.349998
2007-03-26,39.25,39.43,38.669998,450600,39.200001
2007-03-27,39.209999,39.259998,38.700001,583300,38.990002
2007-03-28,38.919998,39.080002,38.549999,1451500,38.73
2007-03-29,38.939999,39.02,38.200001,1793500,38.349998
2007-03-30,38.459999,38.650002,38.119999,724800,38.549999
2007-04-02,38.669998,38.950001,38.560001,783800,38.779999
2007-04-03,38.919998,39.369999,38.84,837500,39
2007-04-04,39.060001,39.060001,38.57,630800,38.650002
2007-04-05,38.610001,39.720001,38.459999,900500,39.560001
2007-04-09,39.59,39.669998,39.220001,235400,39.48
2007-04-10,39.509998,39.880001,39.5,685200,39.790001
2007-04-11,39.869999,40.27,39.540001,1507500,40.150002
2007-04-12,39.990002,40.23,39.369999,594300,39.950001
2007-04-13,40.02,40.130001,39.419998,626000,39.650002
2007-04-16,39.900002,40.310001,39.810001,423800,40.25
2007-04-17,40.34,40.490002,40.049999,511400,40.200001
2007-04-18,40,40.299999,39.689999,410000,40
2007-04-19,40.509998,40.509998,39.639999,428200,40.09
2007-04-20,40.400002,40.799999,40.23,664900,40.799999
2007-04-23,40.700001,41.27,40.5,580400,41.189999
2007-04-24,41.200001,41.200001,40.59,923300,41.060001
2007-04-25,43,43.619999,42.130001,1986300,42.259998
2007-04-26,42.349998,42.52,41.580002,1188600,41.77
2007-04-27,41.779999,41.91,41.290001,568000,41.669998
2007-04-30,41.650002,42,41.080002,988100,41.200001
2007-05-01,41.310001,41.310001,40.709999,1111100,40.939999
2007-05-02,41.049999,41.599998,40.959999,428600,41.299999
2007-05-03,41.25,41.290001,40.59,518100,40.73
2007-05-04,40.75,40.75,40.279999,600800,40.349998
2007-05-07,40.349998,40.48,40.07,717100,40.41
2007-05-08,41.91,42.919998,41.5,4380200,41.75
2007-05-09,41.689999,42.259998,41.599998,934700,42
2007-05-10,41.799999,42.25,41.580002,726800,41.68
2007-05-11,41.549999,41.560001,40.869999,565500,41.48
2007-05-14,41.549999,41.619999,40.77,407500,40.799999
2007-05-15,39.970001,41.150002,39.900002,1595900,40.470001
2007-05-16,40.5,40.790001,40.23,953000,40.509998
2007-05-17,40.349998,42.150002,40.080002,2528600,41.349998
2007-05-18,41.360001,41.48,40.869999,1672700,41.32
2007-05-21,40.43,41.709999,40.43,2260600,41.639999
2007-05-22,41.389999,41.43,40.900002,832600,41.110001
2007-05-23,41.139999,41.689999,40.970001,1669700,41.040001
2007-05-24,40.950001,41.23,40.299999,971400,40.48
2007-05-25,40.900002,40.919998,40.360001,537300,40.43
2007-05-29,40.599998,40.75,40,1377600,40.68
2007-05-30,40.560001,41.360001,40.400002,1184000,41.27
2007-05-31,41.32,41.709999,41.220001,1040100,41.419998
2007-06-01,41.549999,41.740002,41.279999,811000,41.610001
2007-06-04,41.560001,42.049999,41.470001,723700,41.98
2007-06-05,42.25,42.599998,41.66,1188900,41.900002
2007-06-06,41.700001,41.700001,40.880001,778100,41.25
2007-06-07,41.080002,41.509998,40.549999,666600,40.599998
2007-06-08,40.66,42.200001,40.66,1196000,42.040001
2007-06-11,42.25,42.25,41.349998,762700,41.57
