date,noComplaints,noResolvedComplaints,noProblems,noInfoSeeking
10-01-2014,32,1,32,0
10-02-2014,15,0,15,0
10-03-2014,24,0,24,0
10-04-2014,15,0,15,0
10-05-2014,22,0,22,0
10-06-2014,20,0,20,0
10-07-2014,44,41,44,0
10-08-2014,75,76,75,0
10-09-2014,57,67,57,0
10-10-2014,42,105,42,0
10-11-2014,34,0,34,0
10-12-2014,27,0,27,0
10/13/2014,46,8,46,0
10/14/2014,46,52,46,0
10/15/2014,38,0,38,0
10/16/2014,68,37,68,0
10/17/2014,56,105,56,0
10/18/2014,34,0,34,0
10/19/2014,20,0,20,0
10/20/2014,46,61,46,0
10/21/2014,100,125,100,0
10/22/2014,56,45,56,0
10/23/2014,29,0,29,0
10/24/2014,43,0,43,0
10/25/2014,39,0,39,0
10/26/2014,30,0,30,0
10/27/2014,42,102,42,0
10/28/2014,59,100,59,0
10/29/2014,64,133,64,0
10/30/2014,59,88,59,0
10/31/2014,47,99,47,0
11-01-2014,42,0,42,0
11-02-2014,30,0,30,0
11-03-2014,71,43,71,0
11-04-2014,35,0,35,0
11-05-2014,51,81,51,0
11-06-2014,39,0,39,0
11-07-2014,42,122,42,0
11-08-2014,36,0,36,0
11-09-2014,20,0,20,0
11-10-2014,42,77,42,0
11-11-2014,67,40,67,0
11-12-2014,80,70,80,0
11/13/2014,54,81,54,0
11/14/2014,52,116,52,0
11/15/2014,48,0,48,0
11/16/2014,37,0,37,0
11/17/2014,48,61,48,0
11/18/2014,65,79,65,0
11/19/2014,81,100,81,0
11/20/2014,73,68,73,0
11/21/2014,133,105,133,0
11/22/2014,71,0,71,0
11/23/2014,33,0,33,0
11/24/2014,76,120,76,0
11/25/2014,70,98,70,0
11/26/2014,76,85,76,0
11/27/2014,60,104,60,0
11/28/2014,57,106,57,0
11/29/2014,64,0,64,0
11/30/2014,33,0,33,0
12-01-2014,64,49,64,0
12-02-2014,70,96,70,0
12-03-2014,57,95,57,0
12-04-2014,68,100,68,0
12-05-2014,59,64,59,0
12-06-2014,36,0,36,0
12-07-2014,31,0,31,0
12-08-2014,59,76,59,0
12-09-2014,62,73,62,0
12-10-2014,49,24,49,0
12-11-2014,50,9,50,0
12-12-2014,55,81,55,0
12/13/2014,20,0,20,0
12/14/2014,21,0,21,0
12/15/2014,58,38,58,0
12/16/2014,69,67,69,0
12/17/2014,58,85,58,0
12/18/2014,46,61,46,0
12/19/2014,72,83,72,0
12/20/2014,56,0,56,0
12/21/2014,40,0,40,0
12/22/2014,48,89,48,0
12/23/2014,70,60,70,0
12/24/2014,38,56,38,0
12/25/2014,29,0,29,0
12/26/2014,38,110,38,0
12/27/2014,29,0,29,0
12/28/2014,27,0,27,0
12/29/2014,41,53,41,0
12/30/2014,52,43,52,0
12/31/2014,29,120,29,0
01-01-2015,32,48,32,0
01-02-2015,55,82,55,0
01-03-2015,34,0,34,0
01-04-2015,23,0,23,0
01-05-2015,40,53,40,0
01-06-2015,63,87,63,0
01-07-2015,97,65,97,0
01-08-2015,55,75,55,0
01-09-2015,54,82,54,0
01-10-2015,22,0,22,0
01-11-2015,28,0,28,0
01-12-2015,48,65,48,0
1/13/2015,47,50,47,0
1/14/2015,42,90,42,0
1/15/2015,43,81,43,0
1/16/2015,41,77,41,0
1/17/2015,40,0,40,0
1/18/2015,32,0,32,0
1/19/2015,34,63,34,0
1/20/2015,44,48,44,0
1/21/2015,57,59,57,0
1/22/2015,61,76,61,0
1/23/2015,56,69,56,0
1/24/2015,42,0,42,0
1/25/2015,20,0,20,0
1/26/2015,27,0,27,0
1/27/2015,62,8,62,0
1/28/2015,64,89,64,0
1/29/2015,66,49,66,0
1/30/2015,52,28,52,0
1/31/2015,34,0,34,0
02-01-2015,22,0,22,0
02-02-2015,52,66,52,0
02-03-2015,57,52,57,0
02-04-2015,51,70,51,0
02-05-2015,55,67,55,0
02-06-2015,55,86,55,0
02-07-2015,51,0,51,0
02-08-2015,30,0,30,0
02-09-2015,59,53,59,0
02-10-2015,53,78,53,0
02-11-2015,53,71,53,0
02-12-2015,59,40,59,0
2/13/2015,56,51,56,0
2/14/2015,32,0,32,0
2/15/2015,16,0,16,0
2/16/2015,43,161,43,0
2/17/2015,31,0,31,0
2/18/2015,63,114,63,0
2/19/2015,36,0,36,0
2/20/2015,48,95,48,0
2/21/2015,24,0,24,0
2/22/2015,21,0,21,0
2/23/2015,34,79,34,0
2/24/2015,42,74,42,0
2/25/2015,57,61,57,0
2/26/2015,52,78,52,0
2/27/2015,48,72,48,0
