Date,AdjCloseUSD
19-12-2011,22.22
20-12-2011,22.66
21-12-2011,22.43
22-12-2011,22.47
23-12-2011,22.66
27-12-2011,22.67
28-12-2011,22.48
29-12-2011,22.65
30-12-2011,22.6
03-01-2012,23.3
04-01-2012,23.85
05-01-2012,24.1
06-01-2012,24.47
09-01-2012,24.15
10-01-2012,24.24
11-01-2012,24.13
12-01-2012,24.38
13-01-2012,24.59
17-01-2012,24.6
18-01-2012,24.58
19-01-2012,24.48
20-01-2012,25.86
23-01-2012,25.88
24-01-2012,25.54
25-01-2012,25.73
26-01-2012,25.68
27-01-2012,25.45
30-01-2012,25.78
31-01-2012,25.71
01-02-2012,26.02
02-02-2012,26.07
03-02-2012,26.33
06-02-2012,26.29
07-02-2012,26.42
08-02-2012,26.69
09-02-2012,26.79
10-02-2012,26.55
13-02-2012,26.62
14-02-2012,26.51
15-02-2012,26.33
16-02-2012,27.42
17-02-2012,27.38
21-02-2012,27.55
22-02-2012,27.4
23-02-2012,27.49
24-02-2012,27.58
27-02-2012,27.47
28-02-2012,27.93
29-02-2012,27.81
01-03-2012,28.29
02-03-2012,28.11
05-03-2012,27.87
06-03-2012,27.66
07-03-2012,27.9
08-03-2012,28.05
09-03-2012,28.03
12-03-2012,28.08
13-03-2012,28.63
14-03-2012,28.72
15-03-2012,28.79
16-03-2012,28.57
19-03-2012,28.22
20-03-2012,28.03
21-03-2012,27.96
22-03-2012,28.04
23-03-2012,28.05
26-03-2012,28.56
27-03-2012,28.5
28-03-2012,28.21
29-03-2012,28.15
30-03-2012,28.27
02-04-2012,28.29
03-04-2012,27.99
04-04-2012,27.35
05-04-2012,27.62
09-04-2012,27.25
10-04-2012,26.7
11-04-2012,26.59
12-04-2012,27.15
13-04-2012,27
16-04-2012,27.23
17-04-2012,27.55
18-04-2012,27.29
19-04-2012,27.17
20-04-2012,28.41
23-04-2012,28.15
24-04-2012,27.97
25-04-2012,28.22
26-04-2012,28.14
27-04-2012,28.02
30-04-2012,28.06
01-05-2012,28.05
02-05-2012,27.87
03-05-2012,27.83
04-05-2012,27.15
07-05-2012,26.86
08-05-2012,26.73
09-05-2012,26.95
10-05-2012,26.94
11-05-2012,27.3
14-05-2012,26.88
15-05-2012,26.65
16-05-2012,26.37
17-05-2012,26.21
